data,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,
Output nacional procesado a la naturaleza,278.875.928,325.195.573,342.486.612,345.420.390,329.517.456,340.682.569,323.538.754,319.925.395,348.182.429,352.137.026,349.687.620,360.769.534,399.150.775,
Emisiones al aire,250.143.282,296.611.781,313.962.181,317.591.043,302.097.334,313.866.125,296.318.651,293.360.235,321.979.432,325.529.519,322.095.835,334.308.770,370.757.531,
Dióxido de Carbono (CO2),245.721.387,291.786.795,308.743.927,312.587.148,297.123.674,308.641.105,291.365.825,288.106.494,316.845.396,319.980.250,316.558.871,328.582.807,364.851.366,
Dióxido de Carbono (CO2) de la combustión de biomasa,28.313.135,29.047.227,28.586.604,27.592.243,26.230.443,27.358.208,27.486.625,27.649.903,30.295.114,27.924.836,25.695.995,24.731.420,21.446.839,
Dióxido de Carbono (CO2) excluida la combustión de biomasa,217.408.252,262.739.568,280.157.323,284.994.905,270.893.231,281.282.897,263.879.200,260.456.591,286.550.282,292.055.414,290.862.876,303.851.387,343.404.527,
Metano (CH4),1.509.648,1.513.249,1.533.384,1.524.722,1.511.962,1.528.840,1.472.759,1.498.882,1.547.247,1.591.318,1.576.486,1.646.931,1.596.784,
Monóxido de dinitrógeno (N2O),24.148,24.624,25.672,24.815,24.460,24.428,23.577,24.183,23.196,24.567,25.546,27.137,28.029,
Óxidos de nitrógeno (NOx),651.563,813.908,864.942,879.453,872.373,905.510,876.056,884.329,966.718,1.018.998,1.017.948,1.092.208,1.217.621,
Hidrofluorocarburos (HFCs),2.882,3.332,3.538,4.118,4.550,4.242,6.823,6.819,6.673,6.412,6.531,6.232,6.691,
Perfluororcarburos (PFCs),5,8,19,18,13,13,9,10,8,13,15,17,26,
Hexafluoruro de azufre,10,10,9,9,10,9,9,9,9,10,10,10,10,
Monóxido de carbono (CO),1.461.185,1.629.333,1.884.837,1.671.632,1.674.723,1.818.830,1.676.234,1.934.977,1.628.957,1.924.831,1.955.612,1.937.160,1.919.021,
Compuestos Orgánicos Volátiles Distintos del Metano (COVDM),250.365,271.185,269.946,265.039,259.744,266.147,258.814,265.641,272.139,274.498,278.913,282.394,293.560,
Dióxido de azufre (SO2),128.134,169.946,217.240,238.990,231.901,273.482,255.494,236.296,301.895,299.139,263.878,309.235,408.856,
Amoniaco (NH3),223.532,222.396,222.067,216.673,212.507,210.285,204.150,201.852,204.197,203.997,205.415,213.079,221.037,
Metales Pesados,550,625,702,639,636,651,610,700,631,720,764,770,794,
Contaminantes Orgánicos Persistentes (COP),40,43,48,48,58,58,58,57,58,61,62,61,59,
Partículas (pej PM10,,169.833,176.327,195.850,177.739,180.723,192.525,178.233,199.986,182.308,204.705,205.784,210.729,
Emisiones al agua,841.528,985.324,872.428,830.926,832.049,924.371,1.874.109,1.693.164,1.850.056,1.781.185,1.919.058,1.462.626,1.910.262,
Nitrógeno (N),60.330,66.857,69.652,62.795,54.842,59.059,52.889,52.160,52.411,42.168,40.093,39.789,39.029,
Fósforo (P),4.159,5.707,5.658,5.624,4.741,5.478,4.799,5.219,5.012,3.819,4.179,3.541,3.663,
Metáles Pesados,102,397,477,152,132,130,117,189,149,138,278,127,102,
Otras sustancias y materiales (orgánicos),776.937,912.363,796.641,762.355,772.334,859.704,1.816.304,1.635.596,1.792.484,1.735.060,1.874.508,1.419.169,1.867.468,
Uso disipativo de productos,27.882.172,27.587.732,27.641.378,26.987.986,26.577.884,25.882.204,25.336.480,24.862.715,24.343.524,24.816.346,25.662.352,24.987.514,26.471.913,
Abono orgánico (estiércol),17.933.664,17.772.236,17.699.298,17.199.681,17.027.625,16.537.032,15.908.491,15.673.319,15.925.427,16.182.653,16.542.430,16.389.530,16.787.607,
Fertilizantes sintéticos-inorgánicos,5.126.461,4.968.425,5.081.442,5.022.241,4.773.206,5.119.975,5.064.612,4.681.042,4.139.663,4.236.919,4.509.529,3.326.595,3.730.468,
Lodos de depuradora,987.106,1.019.748,1.052.700,997.100,941.600,923.900,901.400,868.400,848.200,958.800,1.005.100,995.100,926.900,
Compost,1.196.881,1.122.192,1.056.371,1.091.870,941.909,787.612,825.879,1.022.984,740.632,749.526,912.044,1.489.349,2.030.269,
Fitosanitarios,131.661,147.911,144.818,139.476,148.137,146.975,150.021,138.415,127.497,145.911,135.099,115.285,146.464,
Semillas,1.272.121,1.231.706,1.306.550,1.264.416,1.245.320,1.269.378,1.255.195,1.267.542,1.241.651,1.216.905,1.247.081,1.352.637,1.377.627,
Sal y otros materiales de deshielo esparcidos por las carreteras (incluida la gravilla),250.413,283.158,243.003,240.113,511.149,151.703,283.806,267.758,369.059,308.622,232.025,232.025,231.519,
Disolventes,950.865,983.865,1.042.356,1.057.196,1.033.089,988.938,945.629,947.076,943.255,951.395,1.017.010,1.079.044,1.086.993,
Pérdidas por disipación,8.946,10.736,10.625,10.435,10.189,9.869,9.514,9.281,9.417,9.976,10.375,10.624,11.069,
