,Output nacional procesado a la naturaleza,Emisiones al aire,Dióxido de Carbono (CO2),Dióxido de Carbono (CO2) de la combustión de biomasa,Dióxido de Carbono (CO2) excluida la combustión de biomasa,Metano (CH4),Monóxido de dinitrógeno (N2O),Óxidos de nitrógeno (NOx),Hidrofluorocarburos (HFCs),Perfluororcarburos (PFCs),Hexafluoruro de azufre,Monóxido de carbono (CO),Compuestos Orgánicos Volátiles Distintos del Metano (COVDM),Dióxido de azufre (SO2),Amoniaco (NH3),Metales Pesados,Contaminantes Orgánicos Persistentes (COP),Partículas (pej PM10,Emisiones al agua,Nitrógeno (N),Fósforo (P),Metáles Pesados,Otras sustancias y materiales (orgánicos),Uso disipativo de productos,Abono orgánico (estiércol),Fertilizantes sintéticos-inorgánicos,Lodos de depuradora,Compost,Fitosanitarios,Semillas,Sal y otros materiales de deshielo esparcidos por las carreteras (incluida la gravilla),Disolventes,Pérdidas por disipación
2020,278.875.928,250.143.282,245.721.387,28.313.135,217.408.252,1.509.648,24.148,651.563,2.882,5,10,1.461.185,250.365,128.134,223.532,550,40,,841.528,60.330,4.159,102,776.937,27.882.172,17.933.664,5.126.461,987.106,1.196.881,131.661,1.272.121,250.413,950.865,8.946
2019,325.195.573,296.611.781,291.786.795,29.047.227,262.739.568,1.513.249,24.624,813.908,3.332,8,10,1.629.333,271.185,169.946,222.396,625,43,169.833,985.324,66.857,5.707,397,912.363,27.587.732,17.772.236,4.968.425,1.019.748,1.122.192,147.911,1.231.706,283.158,983.865,10.736
2018,342.486.612,313.962.181,308.743.927,28.586.604,280.157.323,1.533.384,25.672,864.942,3.538,19,9,1.884.837,269.946,217.240,222.067,702,48,176.327,872.428,69.652,5.658,477,796.641,27.641.378,17.699.298,5.081.442,1.052.700,1.056.371,144.818,1.306.550,243.003,1.042.356,10.625
2017,345.420.390,317.591.043,312.587.148,27.592.243,284.994.905,1.524.722,24.815,879.453,4.118,18,9,1.671.632,265.039,238.990,216.673,639,48,195.850,830.926,62.795,5.624,152,762.355,26.987.986,17.199.681,5.022.241,997.100,1.091.870,139.476,1.264.416,240.113,1.057.196,10.435
2016,329.517.456,302.097.334,297.123.674,26.230.443,270.893.231,1.511.962,24.460,872.373,4.550,13,10,1.674.723,259.744,231.901,212.507,636,58,177.739,832.049,54.842,4.741,132,772.334,26.577.884,17.027.625,4.773.206,941.600,941.909,148.137,1.245.320,511.149,1.033.089,10.189
2015,340.682.569,313.866.125,308.641.105,27.358.208,281.282.897,1.528.840,24.428,905.510,4.242,13,9,1.818.830,266.147,273.482,210.285,651,58,180.723,924.371,59.059,5.478,130,859.704,25.882.204,16.537.032,5.119.975,923.900,787.612,146.975,1.269.378,151.703,988.938,9.869
2014,323.538.754,296.318.651,291.365.825,27.486.625,263.879.200,1.472.759,23.577,876.056,6.823,9,9,1.676.234,258.814,255.494,204.150,610,58,192.525,1.874.109,52.889,4.799,117,1.816.304,25.336.480,15.908.491,5.064.612,901.400,825.879,150.021,1.255.195,283.806,945.629,9.514
2013,319.925.395,293.360.235,288.106.494,27.649.903,260.456.591,1.498.882,24.183,884.329,6.819,10,9,1.934.977,265.641,236.296,201.852,700,57,178.233,1.693.164,52.160,5.219,189,1.635.596,24.862.715,15.673.319,4.681.042,868.400,1.022.984,138.415,1.267.542,267.758,947.076,9.281
2012,348.182.429,321.979.432,316.845.396,30.295.114,286.550.282,1.547.247,23.196,966.718,6.673,8,9,1.628.957,272.139,301.895,204.197,631,58,199.986,1.850.056,52.411,5.012,149,1.792.484,24.343.524,15.925.427,4.139.663,848.200,740.632,127.497,1.241.651,369.059,943.255,9.417
2011,352.137.026,325.529.519,319.980.250,27.924.836,292.055.414,1.591.318,24.567,1.018.998,6.412,13,10,1.924.831,274.498,299.139,203.997,720,61,182.308,1.781.185,42.168,3.819,138,1.735.060,24.816.346,16.182.653,4.236.919,958.800,749.526,145.911,1.216.905,308.622,951.395,9.976
2010,349.687.620,322.095.835,316.558.871,25.695.995,290.862.876,1.576.486,25.546,1.017.948,6.531,15,10,1.955.612,278.913,263.878,205.415,764,62,204.705,1.919.058,40.093,4.179,278,1.874.508,25.662.352,16.542.430,4.509.529,1.005.100,912.044,135.099,1.247.081,232.025,1.017.010,10.375
2009,360.769.534,334.308.770,328.582.807,24.731.420,303.851.387,1.646.931,27.137,1.092.208,6.232,17,10,1.937.160,282.394,309.235,213.079,770,61,205.784,1.462.626,39.789,3.541,127,1.419.169,24.987.514,16.389.530,3.326.595,995.100,1.489.349,115.285,1.352.637,232.025,1.079.044,10.624
2008,399.150.775,370.757.531,364.851.366,21.446.839,343.404.527,1.596.784,28.029,1.217.621,6.691,26,10,1.919.021,293.560,408.856,221.037,794,59,210.729,1.910.262,39.029,3.663,102,1.867.468,26.471.913,16.787.607,3.730.468,926.900,2.030.269,146.464,1.377.627,231.519,1.086.993,11.069
