Anio,Output nacional procesado a la naturaleza,Emisiones al aire,Dióxido de Carbono (CO2),Dióxido de Carbono (CO2) de la combustión de biomasa,Dióxido de Carbono (CO2) excluida la combustión de biomasa,Metano (CH4),Monóxido de dinitrógeno (N2O),Óxidos de nitrógeno (NOx),Monóxido de carbono (CO),Dióxido de azufre (SO2),Amoniaco (NH3),Emisiones al agua,Nitrógeno (N),Fósforo (P),Metáles Pesados,Otras sustancias y materiales (orgánicos),,,,,,,,,,
2020,278875928,250143282,245721387,28313135,217408252,1509648,24148,651563,1461185,128134,223532,841528,60330,4159,102,776937,,,,,,,,,,
2019,325195573,296611781,291786795,29047227,262739568,1513249,24624,813908,1629333,169946,222396,985324,66857,5707,397,912363,,,,,,,,,,
2018,342486612,313962181,308743927,28586604,280157323,1533384,25672,864942,1884837,217240,222067,872428,69652,5658,477,796641,,,,,,,,,,
2017,345420390,317591043,312587148,27592243,284994905,1524722,24815,879453,1671632,238990,216673,830926,62795,5624,152,762355,,,,,,,,,,
2016,329517456,302097334,297123674,26230443,270893231,1511962,24460,872373,1674723,231901,212507,832049,54842,4741,132,772334,,,,,,,,,,
2015,340682569,313866125,308641105,27358208,281282897,1528840,24428,905510,1818830,273482,210285,924371,59059,5478,130,859704,,,,,,,,,,
2014,323538754,296318651,291365825,27486625,263879200,1472759,23577,876056,1676234,255494,204150,1874109,52889,4799,117,1816304,,,,,,,,,,
2013,319925395,293360235,288106494,27649903,260456591,1498882,24183,884329,1934977,236296,201852,1693164,52160,5219,189,1635596,,,,,,,,,,
2012,348182429,321979432,316845396,30295114,286550282,1547247,23196,966718,1628957,301895,204197,1850056,52411,5012,149,1792484,,,,,,,,,,
2011,352137026,325529519,319980250,27924836,292055414,1591318,24567,1018998,1924831,299139,203997,1781185,42168,3819,138,1735060,,,,,,,,,,
2010,349687620,322095835,316558871,25695995,290862876,1576486,25546,1017948,1955612,263878,205415,1919058,40093,4179,278,1874508,,,,,,,,,,
2009,360769534,334308770,328582807,24731420,303851387,1646931,27137,1092208,1937160,309235,213079,1462626,39789,3541,127,1419169,,,,,,,,,,
2008,399150775,370757531,364851366,21446839,343404527,1596784,28029,1217621,1919021,408856,221037,1910262,39029,3663,102,1867468,,,,,,,,,,
